name ,runs,obj_mean,obj_sd,tott_med,babn_mean,status
q025-m01-n0005,10,1330.000000,190.497594,0.0,0.00000000,1.0
q025-m01-n0010,10,2579.400000,167.233835,0.0,10.80000000,1.0
q025-m01-n0015,10,4001.700000,481.086975,0.3,596.90000000,1.0
q025-m01-n0020,10,5046.500000,457.442710,0.2,431.90000000,1.0
q025-m01-n0025,10,6086.500000,785.141353,1.4,1538.00000000,1.0
q025-m01-n0030,10,,,,,0.0
q025-m01-n0035,10,8637.300000,782.265236,7.1,2414.70000000,1.0
q025-m01-n0040,10,10257.888889,814.781634,11.9,3026.11111111,0.9
q025-m01-n0045,10,,,,,0.0
q025-m01-n0050,10,,,,,0.0
q025-m01-n0100,10,23417.000000,431.335137,376.0,15866.50000000,0.2
q025-m02-n0005,10,3060.200000,492.983389,0.0,1.10000000,1.0
q025-m02-n0010,10,5072.300000,714.585513,0.1,80.50000000,1.0
q025-m02-n0015,10,7387.100000,545.244176,1.5,1461.20000000,1.0
q025-m02-n0020,10,8743.100000,1301.989883,3.9,1510.00000000,1.0
q025-m02-n0025,10,11930.600000,1092.551280,25.0,4196.40000000,0.5
q025-m02-n0030,10,13969.000000,11.313708,244.7,9488.50000000,0.2
q025-m02-n0035,10,17155.000000,,438.1,6659.00000000,0.1
q025-m02-n0040,10,,,,,0.0
q025-m02-n0045,10,,,,,0.0
q025-m02-n0050,10,,,,,0.0
q025-m02-n0100,10,51675.600000,4534.142237,906.1,575.00000000,0.0
q025-m03-n0005,10,4684.100000,1379.054785,0.0,0.40000000,1.0
q025-m03-n0010,10,6912.700000,1127.164688,0.1,214.40000000,1.0
q025-m03-n0015,10,9669.500000,2090.478534,0.9,682.00000000,1.0
q025-m03-n0020,10,13586.100000,1005.813485,12.7,2027.50000000,1.0
q025-m03-n0025,10,14897.750000,2580.249520,99.1,6883.00000000,0.4
q025-m03-n0030,10,,,,,0.0
q025-m03-n0035,10,24787.000000,,359.7,9116.00000000,0.1
q025-m03-n0040,10,27549.500000,3367.306449,896.7,10028.90000000,0.0
q025-m03-n0045,10,,,,,0.0
q025-m03-n0050,10,34619.000000,,896.3,1965.00000000,0.0
q025-m03-n0100,10,89348.600000,8257.752618,923.1,142.40000000,0.0
q025-m04-n0005,10,6062.100000,1492.365419,0.0,2.70000000,1.0
q025-m04-n0010,10,9625.900000,1459.552782,0.2,250.90000000,1.0
q025-m04-n0015,10,12863.700000,1736.429034,2.7,1728.60000000,1.0
q025-m04-n0020,10,17032.800000,1991.758341,9.4,1953.30000000,1.0
q025-m04-n0025,10,20193.000000,1524.522220,116.2,8053.00000000,0.2
q025-m04-n0030,10,26376.666667,3492.751847,896.1,12292.83333333,0.0
q025-m04-n0035,10,,,,,0.0
q025-m04-n0040,10,,,,,0.0
q025-m04-n0045,10,,,,,0.0
q025-m04-n0050,10,,,,,0.0
q025-m04-n0100,10,,,,,0.0
q025-m05-n0005,10,8527.400000,2259.118570,0.1,12.40000000,1.0
q025-m05-n0010,10,12867.300000,2488.360775,0.3,674.40000000,1.0
q025-m05-n0015,10,16601.500000,3495.200145,3.1,1482.10000000,1.0
q025-m05-n0020,10,19501.333333,2113.579775,19.1,2012.16666667,0.6
q025-m05-n0025,10,23596.500000,741.755013,394.0,15664.00000000,0.2
q025-m05-n0030,10,32315.800000,2452.779412,896.3,11472.30000000,0.0
q025-m05-n0035,10,,,,,0.0
q025-m05-n0040,10,,,,,0.0
q025-m05-n0045,10,,,,,0.0
q025-m05-n0050,10,,,,,0.0
q025-m05-n0100,10,,,,,0.0
q050-m01-n0005,10,1316.900000,208.400496,0.0,0.00000000,1.0
q050-m01-n0010,10,2668.500000,367.385734,0.0,6.60000000,1.0
q050-m01-n0015,10,4061.100000,586.119906,0.3,560.70000000,1.0
q050-m01-n0020,10,5042.000000,466.701189,0.8,1227.50000000,1.0
q050-m01-n0025,10,6302.900000,590.232242,2.3,1333.50000000,1.0
q050-m01-n0030,10,,,,,0.0
q050-m01-n0035,10,8583.444444,840.740910,7.0,2037.77777778,0.9
q050-m01-n0040,10,9315.800000,834.022602,9.0,2401.40000000,0.5
q050-m01-n0045,10,10986.666667,1506.092405,18.2,4043.66666667,0.3
q050-m01-n0050,10,11538.000000,,191.2,42783.00000000,0.1
q050-m01-n0100,10,24096.000000,,380.6,19261.00000000,0.1
q050-m02-n0005,10,3105.600000,660.760875,0.0,0.90000000,1.0
q050-m02-n0010,10,5021.300000,502.679277,0.1,186.90000000,1.0
q050-m02-n0015,10,7165.900000,715.288357,2.5,1619.40000000,1.0
q050-m02-n0020,10,9091.333333,625.214163,15.1,3601.22222222,0.9
q050-m02-n0025,10,,,,,0.0
q050-m02-n0030,10,13023.000000,,897.0,23453.00000000,0.0
q050-m02-n0035,10,,,,,0.0
q050-m02-n0040,10,17409.333333,680.779210,897.0,18304.33333333,0.0
q050-m02-n0045,10,,,,,0.0
q050-m02-n0050,10,,,,,0.0
q050-m02-n0100,10,57032.750000,3409.181542,939.9,421.25000000,0.0
q050-m03-n0005,10,4657.500000,992.459487,0.0,0.00000000,1.0
q050-m03-n0010,10,6699.400000,1313.949196,0.2,394.70000000,1.0
q050-m03-n0015,10,9992.800000,1482.730349,6.4,2519.90000000,1.0
q050-m03-n0020,10,13664.500000,2402.563027,47.3,3985.66666667,0.6
q050-m03-n0025,10,,,,,0.0
q050-m03-n0030,10,,,,,0.0
q050-m03-n0035,10,,,,,0.0
q050-m03-n0040,10,29692.400000,1500.503116,897.2,5892.50000000,0.0
q050-m03-n0045,10,,,,,0.0
q050-m03-n0050,10,,,,,0.0
q050-m03-n0100,10,,,,,0.0
q050-m04-n0005,10,6356.100000,1441.336991,0.0,12.00000000,1.0
q050-m04-n0010,10,8669.300000,1508.944226,0.2,325.10000000,1.0
q050-m04-n0015,10,13672.500000,2166.613091,15.2,2526.75000000,0.8
q050-m04-n0020,10,15756.400000,1221.019574,41.0,4957.80000000,0.5
q050-m04-n0025,10,,,,,0.0
q050-m04-n0030,10,29955.888889,3893.930130,896.6,9327.77777778,0.0
q050-m04-n0035,10,,,,,0.0
q050-m04-n0040,10,,,,,0.0
q050-m04-n0045,10,,,,,0.0
q050-m04-n0050,10,,,,,0.0
q050-m04-n0100,10,,,,,0.0
q050-m05-n0005,10,7173.800000,1429.004533,0.0,5.10000000,1.0
q050-m05-n0010,10,10641.000000,1933.227756,0.3,365.50000000,1.0
q050-m05-n0015,10,16026.285714,1220.894169,15.5,7401.71428571,0.7
q050-m05-n0020,10,,,,,0.0
q050-m05-n0025,10,,,,,0.0
