name ,runs,obj_mean,obj_sd,tott_med,babn_mean,status
m01-n0005,10,1582.000000,377.344523,0.0,0.00000000,1.0
m01-n0010,10,2503.100000,487.541326,0.0,24.50000000,1.0
m01-n0015,10,3747.200000,466.103899,0.0,472.60000000,1.0
m01-n0020,10,4918.500000,481.545486,0.1,913.90000000,1.0
m01-n0025,10,5859.900000,414.745826,0.4,1176.40000000,1.0
m01-n0030,10,7373.200000,546.075656,0.5,1055.60000000,1.0
m01-n0035,10,8498.200000,570.297349,0.8,1363.10000000,1.0
m01-n0040,10,10072.500000,633.108425,1.3,1460.00000000,1.0
m01-n0045,10,10627.100000,830.628738,1.4,1628.70000000,1.0
m01-n0050,10,11653.400000,932.383946,1.4,2118.20000000,1.0
m01-n0100,10,24640.555556,1371.214344,16.7,11327.00000000,0.9
m02-n0005,10,3539.000000,994.395517,0.0,0.00000000,1.0
m02-n0010,10,4903.200000,622.429612,0.0,60.90000000,1.0
m02-n0015,10,7079.100000,913.752027,0.4,1095.00000000,1.0
m02-n0020,10,9633.700000,470.835676,1.2,1272.50000000,1.0
m02-n0025,10,12017.800000,789.335557,2.4,2917.20000000,1.0
m02-n0030,10,13557.300000,1498.078106,4.2,4020.80000000,1.0
m02-n0035,10,14687.555556,1695.105757,5.3,4227.55555556,0.9
m02-n0040,10,18052.428571,1392.808417,49.6,12472.00000000,0.7
m02-n0045,10,20358.400000,1809.559689,15.4,6543.90000000,1.0
m02-n0050,10,23333.000000,2088.446672,616.3,33050.80000000,0.3
m02-n0100,10,45217.111111,2270.870067,896.5,103524.11111111,0.0
m03-n0005,10,5026.200000,1313.222398,0.0,0.40000000,1.0
m03-n0010,10,7272.000000,885.098237,0.1,172.40000000,1.0
m03-n0015,10,9324.700000,1268.617099,0.4,935.60000000,1.0
m03-n0020,10,12586.300000,1474.909493,1.9,2616.30000000,1.0
m03-n0025,10,16679.900000,1317.940350,5.9,4839.90000000,1.0
m03-n0030,10,18080.800000,2330.608304,11.4,6379.20000000,1.0
m03-n0035,10,20588.111111,1422.707054,18.0,7253.66666667,0.9
m03-n0040,10,24001.000000,1668.563854,131.3,18491.85714286,0.7
m03-n0045,10,28227.200000,1759.677726,896.3,29119.00000000,0.2
m03-n0050,10,30940.750000,3295.977884,896.3,32778.87500000,0.3
m03-n0100,10,65204.200000,6173.581381,896.2,48537.60000000,0.0
m04-n0005,10,6686.300000,1490.323309,0.0,1.10000000,1.0
m04-n0010,10,9919.600000,1849.828352,0.1,134.90000000,1.0
m04-n0015,10,13882.100000,2425.590991,0.4,906.20000000,1.0
m04-n0020,10,16661.800000,2002.725243,2.1,3095.70000000,1.0
m04-n0025,10,20835.000000,2333.009406,9.6,6791.90000000,1.0
m04-n0030,10,23203.200000,2644.611452,36.0,10295.10000000,1.0
m04-n0035,10,26029.250000,1401.730843,29.7,8871.62500000,0.8
m04-n0040,10,30764.500000,2611.050427,572.0,29749.75000000,0.2
m04-n0045,10,34219.800000,2023.814888,658.3,24795.80000000,0.3
m04-n0050,10,38658.000000,2668.296235,896.4,32324.00000000,0.1
m04-n0100,10,80590.111111,3785.486476,896.4,30752.88888889,0.0
m05-n0005,10,9610.600000,2323.969889,0.0,4.40000000,1.0
m05-n0010,10,12950.000000,2272.921175,0.1,241.80000000,1.0
m05-n0015,10,16280.700000,2252.501821,1.2,1493.40000000,1.0
m05-n0020,10,19876.200000,1915.038311,3.6,2800.40000000,1.0
m05-n0025,10,23167.100000,2435.649831,5.6,3313.80000000,1.0
m05-n0030,10,27633.555556,2605.150049,29.7,6914.88888889,0.9
m05-n0035,10,29899.500000,1859.916127,37.9,8389.12500000,0.8
m05-n0040,10,37465.500000,2614.173770,128.8,15642.00000000,0.2
m05-n0045,10,42713.000000,6056.248806,895.1,26430.66666667,0.2
m05-n0050,10,47518.750000,5904.659819,896.6,33202.75000000,0.1
m05-n0100,10,96900.571429,6127.931403,896.5,15679.14285714,0.0
