name ,runs,obj_mean,obj_sd,tott_med,babn_mean,status
q025-m01-n0005,10,1330.000000,190.497594,0.0,0.00000000,1.0
q025-m01-n0010,10,2579.400000,167.233835,0.0,10.80000000,1.0
q025-m01-n0015,10,4001.700000,481.086975,0.3,596.90000000,1.0
q025-m01-n0020,10,5046.500000,457.442710,0.2,431.90000000,1.0
q025-m01-n0025,10,6086.500000,785.141353,1.5,1538.00000000,1.0
q025-m01-n0030,10,7389.666667,298.985507,5.4,2190.00000000,0.3
q025-m01-n0035,10,8577.333333,563.273882,2.4,1281.66666667,0.6
q025-m01-n0040,10,10285.700000,773.201433,8.1,2475.70000000,1.0
q025-m01-n0045,10,11056.400000,981.594530,10.4,4238.40000000,1.0
q025-m01-n0050,10,,,,,0.0
q025-m01-n0100,10,24232.333333,801.973399,546.3,32974.33333333,0.3
q025-m02-n0005,10,3060.200000,492.983389,0.0,0.00000000,1.0
q025-m02-n0010,10,5072.300000,714.585513,0.1,110.60000000,1.0
q025-m02-n0015,10,7387.100000,545.244176,2.4,1553.00000000,1.0
q025-m02-n0020,10,8743.100000,1301.989883,5.5,1329.00000000,1.0
q025-m02-n0025,10,11094.500000,1182.039222,58.0,4586.70000000,1.0
q025-m02-n0030,10,13327.500000,1021.650462,534.8,12753.50000000,0.2
q025-m02-n0035,10,16001.375000,931.496022,761.9,17724.25000000,0.4
q025-m02-n0040,10,19005.444444,1618.084756,896.3,13686.00000000,0.1
q025-m02-n0045,10,21401.000000,1301.342469,897.1,11626.70000000,0.0
q025-m02-n0050,10,,,,,0.0
q025-m02-n0100,10,55597.250000,4708.503728,910.3,519.87500000,0.0
q025-m03-n0005,10,4684.100000,1379.054785,0.0,0.40000000,1.0
q025-m03-n0010,10,6912.700000,1127.164688,0.2,200.70000000,1.0
q025-m03-n0015,10,9669.500000,2090.478534,0.8,759.20000000,1.0
q025-m03-n0020,10,13586.100000,1005.813485,16.9,2012.80000000,1.0
q025-m03-n0025,10,15206.375000,2042.612748,88.1,6004.62500000,0.8
q025-m03-n0030,10,20282.166667,1747.026894,896.8,12023.00000000,0.1
q025-m03-n0035,10,23982.800000,1690.261045,896.6,10087.10000000,0.1
q025-m03-n0040,10,27153.555556,3188.493340,897.2,9227.44444444,0.0
q025-m03-n0045,10,31907.600000,3034.406448,896.8,4794.50000000,0.0
q025-m03-n0050,10,,,,,0.0
q025-m03-n0100,10,92299.333333,8986.393344,928.0,249.66666667,0.0
q025-m04-n0005,10,6062.100000,1492.365419,0.0,1.70000000,1.0
q025-m04-n0010,10,9625.900000,1459.552782,0.2,312.90000000,1.0
q025-m04-n0015,10,12863.700000,1736.429034,2.6,1555.80000000,1.0
q025-m04-n0020,10,17032.800000,1991.758341,15.6,3000.30000000,1.0
q025-m04-n0025,10,21810.750000,3136.467373,287.6,12334.75000000,0.4
q025-m04-n0030,10,26031.571429,3788.244970,897.3,11294.42857143,0.0
q025-m04-n0035,10,31199.400000,4517.351589,896.3,8084.40000000,0.0
q025-m04-n0040,10,40533.500000,5788.377075,897.1,5511.10000000,0.0
q025-m04-n0045,10,48489.833333,9714.038695,897.0,3184.33333333,0.0
q025-m04-n0050,10,54054.166667,8065.767079,897.6,996.66666667,0.0
q025-m04-n0100,10,,,,,0.0
q025-m05-n0005,10,8527.400000,2259.118570,0.1,24.70000000,1.0
q025-m05-n0010,10,12867.300000,2488.360775,0.3,705.30000000,1.0
q025-m05-n0015,10,16601.500000,3495.200145,4.9,1662.00000000,1.0
q025-m05-n0020,10,20677.100000,2896.542477,37.8,3306.90000000,1.0
q025-m05-n0025,10,25093.600000,2265.904080,448.9,8808.40000000,0.3
q025-m05-n0030,10,35953.700000,5091.710912,896.4,10099.60000000,0.0
q025-m05-n0035,10,39977.750000,3511.081386,897.4,5887.75000000,0.0
q025-m05-n0040,10,48336.142857,7378.190009,897.9,3642.28571429,0.0
q025-m05-n0045,10,,,,,0.0
q025-m05-n0050,10,75469.000000,21947.828389,897.5,1663.00000000,0.0
q025-m05-n0100,10,,,,,0.0
q050-m01-n0005,10,1316.900000,208.400496,0.0,0.00000000,1.0
q050-m01-n0010,10,2668.500000,367.385734,0.0,6.60000000,1.0
q050-m01-n0015,10,4061.100000,586.119906,0.2,560.70000000,1.0
q050-m01-n0020,10,5042.000000,466.701189,0.8,1227.50000000,1.0
q050-m01-n0025,10,6302.900000,590.232242,2.2,1333.50000000,1.0
q050-m01-n0030,10,8300.500000,835.093109,12.1,2541.50000000,0.2
q050-m01-n0035,10,8508.000000,827.783520,6.1,2077.70000000,1.0
q050-m01-n0040,10,9849.700000,1019.209176,15.0,4922.20000000,1.0
q050-m01-n0045,10,10835.300000,860.689136,14.6,3937.80000000,1.0
q050-m01-n0050,10,13069.000000,,71.9,17312.00000000,0.1
q050-m01-n0100,10,24661.500000,547.046921,896.4,52310.50000000,0.0
q050-m02-n0005,10,3105.600000,660.760875,0.0,0.90000000,1.0
q050-m02-n0010,10,5021.300000,502.679277,0.1,103.60000000,1.0
q050-m02-n0015,10,7165.900000,715.288357,4.0,1516.90000000,1.0
q050-m02-n0020,10,8952.500000,734.987868,13.8,2166.60000000,1.0
q050-m02-n0025,10,10987.125000,1631.528331,225.3,8771.87500000,0.8
q050-m02-n0030,10,,,,,0.0
q050-m02-n0035,10,16702.000000,1635.423425,896.8,14459.70000000,0.0
q050-m02-n0040,10,17633.750000,599.503892,896.9,13462.75000000,0.0
q050-m02-n0045,10,21680.125000,1320.738910,897.1,8091.25000000,0.0
q050-m02-n0050,10,,,,,0.0
q050-m02-n0100,10,54330.285714,3126.530703,946.6,693.14285714,0.0
q050-m03-n0005,10,4657.500000,992.459487,0.0,0.00000000,1.0
q050-m03-n0010,10,6699.400000,1313.949196,0.2,241.10000000,1.0
q050-m03-n0015,10,9992.800000,1482.730349,9.8,3010.30000000,1.0
q050-m03-n0020,10,12887.300000,2091.201146,134.5,16731.30000000,0.8
q050-m03-n0025,10,17511.857143,1969.505135,896.9,21894.57142857,0.1
q050-m03-n0030,10,21550.444444,1774.643071,897.2,10041.44444444,0.0
q050-m03-n0035,10,25764.600000,3558.529571,897.6,8173.50000000,0.0
q050-m03-n0040,10,30708.666667,3291.241521,897.6,4743.66666667,0.0
q050-m03-n0045,10,37162.000000,3557.135645,898.7,1811.88888889,0.0
q050-m03-n0050,10,,,,,0.0
q050-m03-n0100,10,,,,,0.0
q050-m04-n0005,10,6356.100000,1441.336991,0.0,9.40000000,1.0
q050-m04-n0010,10,8669.300000,1508.944226,0.2,295.90000000,1.0
