name ,runs,obj_mean,obj_sd,tott_med,babn_mean,status
m01-n0005,10,1582.000000,377.344523,0.0,0.00000000,1.0
m01-n0010,10,2503.100000,487.541326,0.0,24.50000000,1.0
m01-n0015,10,3747.200000,466.103899,0.1,472.60000000,1.0
m01-n0020,10,4918.500000,481.545486,0.1,913.90000000,1.0
m01-n0025,10,5859.900000,414.745826,0.4,1176.40000000,1.0
m01-n0030,10,7373.200000,546.075656,0.5,1055.60000000,1.0
m01-n0035,10,8498.200000,570.297349,0.9,1363.10000000,1.0
m01-n0040,10,10072.500000,633.108425,1.3,1460.00000000,1.0
m01-n0045,10,10627.100000,830.628738,1.2,1628.70000000,1.0
m01-n0050,10,11653.400000,932.383946,1.3,2118.20000000,1.0
m01-n0100,10,24405.666667,1098.551713,10.1,8555.66666667,0.6
m02-n0005,10,3539.000000,994.395517,0.0,0.00000000,1.0
m02-n0010,10,4903.200000,622.429612,0.0,60.90000000,1.0
m02-n0015,10,7079.100000,913.752027,0.4,1095.00000000,1.0
m02-n0020,10,9633.700000,470.835676,1.2,1272.50000000,1.0
m02-n0025,10,12017.800000,789.335557,2.3,2917.20000000,1.0
m02-n0030,10,13103.375000,1300.012301,3.3,2285.87500000,0.8
m02-n0035,10,14178.000000,1533.365797,3.3,1852.85714286,0.7
m02-n0040,10,18820.000000,,167.7,24987.00000000,0.1
m02-n0045,10,19174.800000,1562.163468,7.1,3253.40000000,0.5
m02-n0050,10,23526.000000,1251.718019,536.6,33566.75000000,0.2
m02-n0100,10,45115.200000,2182.214258,896.3,96201.70000000,0.1
m03-n0005,10,5026.200000,1313.222398,0.0,0.40000000,1.0
m03-n0010,10,7272.000000,885.098237,0.1,172.40000000,1.0
m03-n0015,10,9324.700000,1268.617099,0.4,935.60000000,1.0
m03-n0020,10,12586.300000,1474.909493,1.8,2616.30000000,1.0
m03-n0025,10,16737.250000,1473.086143,2.0,3010.25000000,0.8
m03-n0030,10,16542.200000,1974.062740,2.6,1587.80000000,0.5
m03-n0035,10,20297.250000,2049.469261,4.9,12726.75000000,0.4
m03-n0040,10,24231.000000,2002.526404,351.5,29627.50000000,0.2
m03-n0045,10,28456.666667,1458.680043,551.3,34212.16666667,0.3
m03-n0050,10,32515.500000,968.396760,896.8,38645.25000000,0.3
m03-n0100,10,64982.700000,6112.838712,896.3,48149.20000000,0.0
m04-n0005,10,6686.300000,1490.323309,0.0,1.10000000,1.0
m04-n0010,10,9919.600000,1849.828352,0.1,134.90000000,1.0
m04-n0015,10,13882.100000,2425.590991,0.4,906.20000000,1.0
m04-n0020,10,16601.222222,2114.471138,1.9,1924.77777778,0.9
m04-n0025,10,20961.166667,2864.165178,5.1,3157.00000000,0.6
m04-n0030,10,22340.000000,2708.152507,9.0,4079.00000000,0.4
m04-n0035,10,,,,,0.0
m04-n0040,10,31302.666667,2913.526443,863.1,28286.00000000,0.2
m04-n0045,10,34967.400000,3283.656240,871.6,29069.40000000,0.3
m04-n0050,10,38959.833333,2603.348338,897.1,33044.66666667,0.1
m04-n0100,10,80268.222222,3459.894933,896.1,29977.88888889,0.0
m05-n0005,10,9610.600000,2323.969889,0.0,4.40000000,1.0
m05-n0010,10,12950.000000,2272.921175,0.2,241.80000000,1.0
m05-n0015,10,16280.700000,2252.501821,1.2,1493.40000000,1.0
m05-n0020,10,19876.200000,1915.038311,3.3,2800.40000000,1.0
m05-n0025,10,23549.500000,2599.996593,3.5,1999.37500000,0.8
m05-n0030,10,26448.000000,476.433626,6.1,3183.00000000,0.3
m05-n0035,10,29815.000000,738.219480,9.5,4635.00000000,0.2
m05-n0040,10,37645.750000,2365.244367,328.6,19179.75000000,0.4
m05-n0045,10,41934.857143,5369.789053,894.7,22887.57142857,0.3
m05-n0050,10,47570.000000,4628.548098,896.5,40006.40000000,0.2
m05-n0100,10,97513.285714,5640.934311,896.3,15388.28571429,0.0
